3.0182,0.8832,9.5101,0.5
5.168,7.459,9.9101,0.1
3.5247,6.0797,9.9105,0.1
9.7782,9.9506,9.91,0.1
3.6613,3.3672,9.9104,0.1
1.2563,3.7398,9.9102,0.1
1.0982,5.3581,9.9103,0.1
6.7401,7.2356,9.9106,0.1
4.0358,8.5207,9.9105,0.1
7.3241,8.7973,9.9104,0.1
3.8633,1.0194,9.9103,0.1
2.298,2.9997,9.9105,0.1
1.6557,8.0186,9.9105,0.1
3.9577,6.3184,9.9102,0.1
9.4125,4.6379,9.9102,0.1
3.12,3.9819,9.91,0.1
6.6147,1.701,9.9099,0.1
2.6786,9.3389,9.9106,0.1
5.9609,6.0219,9.9106,0.1
6.159,5.9852,9.9087,0.1
6.5235,7.9011,9.9105,0.1
4.9225,7.1593,9.9107,0.1
6.3393,9.9691,9.9104,0.1
7.4749,1.2818,9.9102,0.1
8.1542,4.2407,9.9104,0.1
8.2397,5.93,9.9103,0.1
5.5015,7.3357,9.9102,0.1
9.0392,6.2292,9.91,0.1
6.6198,5.7992,9.9106,0.1
2.1406,1.7741,9.9105,0.1
9.1904,8.3309,9.91,0.1
9.7605,9.4764,9.9103,0.1
1.0898,1.1194,9.9103,0.1
9.5604,3.863,9.9106,0.1
5.551,4.5203,9.9104,0.1
6.8203,8.1802,9.9108,0.1
8.2443,1.4136,9.9101,0.1
6.8599,9.6998,9.9102,0.1
9.5794,3.5599,9.9109,0.1
5.1215,2.7999,9.9107,0.1
1.9578,9.0057,9.9102,0.1
3.3791,6.2582,9.9105,0.1
2.1301,9.8637,9.91,0.1
3.6176,9.3627,9.9104,0.1
3.6678,7.8413,9.9102,0.1
3.8215,8.8004,9.9099,0.1
0.95827,0.86236,9.9104,0.1
6.0648,4.2192,9.9104,0.1
1.6429,7.1317,9.9102,0.1
2.0805,3.8603,9.9103,0.1
5.7694,1.7581,9.9103,0.1
2.4209,5.5001,9.9108,0.1
6.1424,8.5542,9.9103,0.1
1.9417,7.5801,9.9106,0.1
3.1848,3.1164,9.9103,0.1
6.9217,2.804,9.9103,0.1
1.1969,7.7183,9.9099,0.1
6.5035,2.8384,9.9103,0.1
2.2223,6.342,9.9105,0.1
6.5773,1.0223,9.9102,0.1
0.41934,3.5026,9.9106,0.1
2.4414,0.66041,9.9105,0.1
2.9966,2.1346,9.9101,0.1
5.7996,5.8177,9.9106,0.1
4.0674,6.4832,9.9102,0.1
2.5567,1.5399,9.9104,0.1
8.7286,7.702,9.9102,0.1
4.0827,9.7455,9.91,0.1
